Date,Software,Dummy Variable
2002Q1,123.3,0
2002Q2,126,0
2002Q3,128.5,0
2002Q4,124,0
2003Q1,127,0
2003Q2,128.7,0
2003Q3,136.8,0
2003Q4,141.7,0
2004Q1,143.5,0
2004Q2,145.3,0
2004Q3,152,0
2004Q4,156.5,0
2005Q1,157.5,0
2005Q2,163.2,0
2005Q3,166.2,0
2005Q4,166.8,0
2006Q1,168.9,0
2006Q2,170.9,0
2006Q3,174.6,0
2006Q4,179.8,0
2007Q1,187.2,0
2007Q2,188.6,0
2007Q3,191.8,0
2007Q4,196.8,0
2008Q1,205.2,0
2008Q2,207.3,0
2008Q3,208.9,0
2008Q4,205.4,0
2009Q1,204.8,0
2009Q2,209.5,0
2009Q3,213.6,0
2009Q4,223.6,0
2010Q1,220.5,0
2010Q2,217,0
2010Q3,220.9,0
2010Q4,225.3,0
2011Q1,232.1,0
2011Q2,240.2,0
2011Q3,249.8,0
2011Q4,258.5,0
2012Q1,263.1,0
2012Q2,272.1,0
2012Q3,272.8,0
2012Q4,280.2,0
2013Q1,288.3,0
2013Q2,280.2,0
2013Q3,288.3,0
2013Q4,292.1,0
2014Q1,296.2,0
2014Q2,303.3,0
2014Q3,309.8,0
2014Q4,311.9,0
2015Q1,315.2,0
2015Q2,318.2,0
2015Q3,320.3,0
2015Q4,327.1,0
2016Q1,339.6,0
2016Q2,348.9,0
2016Q3,359.2,0
2016Q4,368.2,0
2017Q1,378.1,0
2017Q2,387,0
2017Q3,398.2,0
2017Q4,406.9,0
2018Q1,420.1,0
2018Q2,434.5,0
2018Q3,441.4,0
2018Q4,452.2,0
2019Q1,454.8,0
2019Q2,461.4,0
2019Q3,471.2,0
2019Q4,483.8,0
2020Q1,497.4,1
2020Q2,492.2,1
2020Q3,503.5,1
2020Q4,516.1,1
2021Q1,547.1,1
2021Q2,567.7,1
